How old are you?;What is your gender?;What is the highest degree or level of education you have completed?;What is your employment status?;Have you adopted a Fintech bank (i.e., opened and used an account)?;Which banks do you currently actively use?;What were the main reasons you adopted a Fintech bank? (Select up to 2 options);How frequently do you use your Fintech bank?;Which Fintech services do you actively use? (Select all that apply);In a few words can you explain what you like the most about your Fintech bank?;If you have not adopted a Fintech, what is the main reason?;Which of the following factors influence your hesitation to adopt Fintech banking serivces?;On a scale from 1 to 5, how much do you trust Fintech banks?;On a scale from 1 to 5, how much do you trust Traditional banks?;What changes would make Fintech banks more attractive to you?;If you are considering adopting a Fintech bank, what would be the most important deciding factor for you?;Thank you!
45-60;Female;Master's degree;Employed Full time;No;ABN Amro;;;;;1 dagelijks bank rekening is voldoende;Security & Data Privacy risks, Lack of regulation;4 = Somewhat trust;4 = Somewhat trust;hogere rente, makkelijk processen;"Beperkte productaanbod: Sommige Fintech banken bieden een beperkter scala aan financiële producten en diensten in vergelijking met traditionele banken 
Regelgevingsrisico's: De regelgeving voor Fintechs is vaak minder streng, wat kan leiden tot onzekerheid over de veiligheid en betrouwbaarheid";
18-28;Male;Master's degree;Employed Full time;Yes;bunq;Better mobile experience, Cashbacks & rewards, Other free credit card;Regularly (Weekly);Savings & Investments, other ocassional credit card payments;Well designed app and website. Easy to open an account and use. High interest rate on savings. Other benefits that traditional banks do not provide.;;;5 = Fully trust;5 = Fully trust;Limit all the promotional content to only the services I use or interested in.;;
18-28;Female;Higher professional education or technical HBO diploma;Employed Full time;No;ING, Rabobank;;;;;Nog geen behoefte aan gehad ;other Geen van bovenstaand, simpelweg nog geen behoefte gehad om over te stappen/toe te voegen ;3 = Neutral;5 = Fully trust;Weet ik niet ;Niks;
29-44;Female;Bachelor's degree;Employed Full time;Yes;Revolut;Lower fees, Better mobile experience, Faster transactions, Cashbacks & rewards, No foreign transaction fees, Other premium membership including lots of advantages, insurances etc;Daily;Everyday transactions (e.g. payments, transfers), Savings & Investments, International transfers;user-friendly, efficient, and innovative, offering a much more modern and convenient experience compared to traditional banks;;;5 = Fully trust;4 = Somewhat trust;Offering a wider range of financial products, such as loans, mortgages, and investment options;;
29-44;Male;Master's degree;Self Employed;No;Rabobank, ABN AMRO;;;;;There is no real reason for me to have another bank account as I already have one and I don't want to leave my current one (too much hassle);other see previous answer;3 = Neutral;5 = Fully trust;If they would add additional services that the major banks would lack ;See previous answer;
29-44;Male;Master's degree;Employed Full time;Yes;Bunq;Better investment options;Occasionally (A few times a month);Savings & Investments;Hogere spaarrente;;;3 = Neutral;4 = Somewhat trust;Meer persoonlijk contact bij problemen.;;
18-28;Female;Bachelor's degree;Employed Full time;Yes;Bunq, revolut, abn amro, ing ;Better investment options, No foreign transaction fees;Occasionally (A few times a month);Savings & Investments, Cryptocurrency transactions, International transfers;;;;4 = Somewhat trust;4 = Somewhat trust;more secure, more insurance;;
29-44;Prefer not to say;Master's degree;Employed Full time;Yes;TradeRepublic, ING;No foreign transaction fees;Rarely (Few times a year);Everyday transactions (e.g. payments, transfers), International transfers;Low to no currency conversion fees;;;3 = Neutral;4 = Somewhat trust;It depends on the bank - some have been on the news due to their shady employment practices (bunq), compliance issues (N26, bunq) or lacking customer support (Revolut). More transparency and control regarding that would make me trust them more.;;
29-44;Male;Master's degree;Self Employed;No;ING, ABN, Rabobank;;;;;Zie het voordeel niet;other tevreden bij huidige bank. Geen zin om over te stappen;4 = Somewhat trust;4 = Somewhat trust;Goedkoper;geen idee;
18-28;Male;Master's degree;Employed Full time;Yes;Revolut;Lower fees, Better mobile experience, Faster transactions, Cashbacks & rewards, No foreign transaction fees;Daily;Everyday transactions (e.g. payments, transfers), AI-driven budgeting tools, International transfers;"Simplicity and the easy logic
Few thoughts to accomplish actions";;;2 = Low trust;5 = Fully trust;"Increasing the certainty that my money is safe

Implement phisical location --> Not useful in a tech world but can still improve trust (I have a person to speak to)

Create a relationship with every customer, I know that person, I know his her past, I know what he she is able to, I tryst him her.";;
29-44;Male;Master's degree;Employed Full time;Yes;ING, Revolut, Wise;Better mobile experience, Faster transactions, No foreign transaction fees;Regularly (Weekly);Savings & Investments, International transfers;"Revolut : It's very simple to start investing and keeping up to date with what is happening in investing world. It seems everything is 'frictionless' int that app. 

Wise : It's the cheapest and fastest international money transfer app. They have the best user journey for small things like status of transfer, if something goes wrong etc. Their app is super simple and effecient.";;;4 = Somewhat trust;5 = Fully trust;To make it more trustworthy. ;;
45-60;Male;Higher professional education or technical HBO diploma;Employed Full time;Yes;Wise;Lower fees, Faster transactions;Regularly (Weekly);International transfers;Supersnel en goedkoper;;;5 = Fully trust;5 = Fully trust;Geen meni;;
45-60;Male;Higher professional education or technical HBO diploma;Employed Full time;Yes;Revolut;Better investment options;Rarely (Few times a year);Cryptocurrency transactions;Alleen de mogelijkheid om in crypto te beleggen. Ik gebruik het niet voor dagelijkse bankzaken.;;;4 = Somewhat trust;5 = Fully trust;Ik denk dat ze gewoon wat meer tijd nodig hebben om zich verder te bewijzen.;;
71+;Female;High School diploma;Retired;No;Ingb;;;;;Nvt;other other;2 = Low trust;5 = Fully trust;Nvt;Nvt;
71+;Male;High School diploma;Retired;No;ING  en  RABO;;;;;Geen intresse;other other;1 = No trust at all;5 = Fully trust;Geen interesse;Geen ervaring met dit soort banken;
